//
// Dumped for Koikatsu Sunshine v1.0.1 (KoikatsuSunshine) by KKS_TextDump v1.4.5.0
//
//「ホエールウォッチングってどうなんだろう？」=
//「ホエール？　……ああ、あれね、安全のためには大事なことだと思うわ」=
//「確かウチの車も先月だかが車検だったし」=
//「車検……安全？　わかった！　ホイール！　ホイールの点検って解釈したのか！！」=
//「フフン」=
//「威張ってるけど、俺が驚いたのは君が思ってる理由とは違うからね」=
//「この辺りはヤシガニがいるみたいだよ」=
//「ヤシガニって……あ、あれでしょ？　わしわししてる。地球外生物みたいな」=
//「まあ、言いたいことはちょっとわかる」=
//「テレビで見たことあるわ！　特に裏が怖いのよ。ひっくり返したら、ヒッて声出ちゃうやつよ」=
//「あれはもう、そう！　ほとんどエビね」=
//「うん、そこはさすがにカニだよね」=
//「月桃っていい匂いだよね」=
//「げっとー？　ああ、あの花ね。ちょっとわかるかも」=
//「あれなんの匂いなんだろう」=
//「……月桃の匂いよ！」=
//「そうだけど、俺が言いたいのはそういうことじゃなくて……」=
//「印象的な香りよね。きっと、この土地を離れてもふと思い出しちゃうと思うわ」=
//「まあ、はい」=
//「ヤマネコって天然記念物らしいね？」=
//「天然記念物……って、よく聞くけど実際はどうやって保護されてるの？」=
//「住む場所提供したり、子供ができるようにお見合いさせたりとか？　……かな」=
//「へー、お見合いまでいくとちょっと過保護な感じもするけど」=
//「絶対数が少ないと相手にめぐりあうのも大変、とかだからじゃない？」=
//「そう……でも、やっぱり生涯の伴侶とは運命的に出会いたいじゃない」=
「たとえば？」=“For example?”
//「俺もそれだなぁ。本当に泣くんだよなね、ウミガメ」=
//「でも、あたしに言わせれば卵産みがら泣くからなんなの？　って感じよ」=
//「人間だって泣くでしょ。ウミガメだけが特別じゃないわ」=
//「ま、まぁ、そうかもね。しかし女性は大変だよなぁ。本当、頭が下がるよ……」=
//「べ、別に、あんたのために赤ちゃん産んであげるなんて言ってないじゃない」=
//「俺もそんなこと言ってないけど」=
//「星の砂ってロマンチックだよね」=
//「ああ、あの……瓶に入ってる」=
//「そうそれ。お土産とかでも人気らしいよ」=
//「ふぅん。ねぇ？　星の砂を持ってるとどうなる、とかはあるんだったかしら」=
//「おまじないみたいなこと？　多分、ないと思うけど」=
//「どうせなら、星の砂に向かって祈ると願いが叶うとかだったらいいのにね」=
//「う、うーん……流れ星に比べると、効果は薄そうなきがするなぁ、それ」=
//「ウムイの鐘って、いつもカップルでいっぱいなんだってよ」=
//「それはそうでしょ、目玉スポットだもの」=
//「そういう意味では、鐘のジンクスは当たってるって決まったようなものよね」=
//「なんで？」=
//「だって、二人で鐘を鳴らそうって決めた時点で願いが叶ったようなものじゃない」=
//（ピュア～……）=
//「男が胸を見てるとすぐわかるとか言うけど……」=
//「当然でしょ？　特にあたしの察知能力は忍者並みなんだから」=
//「じゃあ、今日だけで俺が何回胸を見てたか当ててみて」=
//「見てたの！？　えっち。ていうか、なんのカミングアウトよそれ」=
//「……全然、気付いてないじゃん」=
//「そうね。た、多分、あんただと気を許しちゃうから……かも」=
//「自分のフェチって、思い当たることある？」=
//「フェチって胸フェチとか髪フェチとかそういうのでしょ？　ないわよ」=
//「絶対ないって言い切れるかな～？」=
//「詰め寄ってこないでよ。し、知らないったらぁ……」=
//（意外とマゾっ気はありそうだな……）=
//「あんたのフェチを教えてあげる。女の子困らせフェチよ」=
//「そうだ。欲求不満な時って、どうしてるの？」=
//「サラッと聞かないでよ！　欲求不満って……それ、どういう状況のことよ」=
//「ムラムラする時？　触って欲しい時とかは、自分でしてるのかなって」=
//「す、するわけないでしょ！　そんなことしたらエッチな子じゃない」=
//「じゃあ、我慢するんだ？」=
//「そうよ、ムラムラしても我慢。あたしは並外れた忍耐力があるから」=
//（ムラムラすることはあるんだ……）=
//「どうしても意識しちゃうな。俺達、その……しちゃったんだよね？」=
//「はっきり言わないでよ。顔、熱くなっちゃうから考えないようにしてたのに」=
//「俺もそうしたいんだけど、どうしても思い出しちゃって」=
//「どのシーンのことよ。えいえい、ってしてた時？」=
//「顔ばっかり浮かんでくるかな？　可愛かったから。あとは、肌の温もりとか……」=
//「だからぁ、意識させないでったら」=
//「……ごめん」=
//「そ、そんなに真面目に謝らなくてもいいわよ。意識してくれるの……嬉しいし」=
//「意識するのは嫌なのに？」=
//「照れちゃうってだけよ。あんたのこと想うのが嫌なわけない、から……」=
